          amount       legrep   month  optime
          119.60	0	104	0.1
          290.00	0	107	0.1
           30.00	0	107	0.1
           40.00	0	110	0.1
        21450.00	1	110	0.1
          350.00	0	113	0.1
         6000.00	1	114	0.1
          217.00	0	115	0.1
          109.50	0	115	0.1
          878.37	1	104	0.2
          139.35	0	104	0.2
         4590.00	1	107	0.2
         3900.00	1	109	0.2
          421.30	0	114	0.2
          114.57	0	103	0.3
         5575.74	1	106	0.3
         4476.00	1	107	0.3
          396.05	0	111	0.3
         5882.90	1	110	0.3
         6500.00	1	112	0.3
          102.40	0	112	0.3
          253.26	1	104	0.4
         8000.00	1	107	0.4
         8168.90	1	110	0.4
        10854.90	1	112	0.4
          120.60	0	103	0.5
         4774.50	1	106	0.5
         1236.09	0	111	0.5
          293.20	0	112	0.5
         1643.45	0	112	0.5
          887.94	0	103	0.6
         9467.75	1	107	0.6
         1199.35	0	108	0.6
           32.00	0	110	0.6
           57.55	0	110	0.6
         1969.15	0	112	0.6
          150.75	0	105	0.7
         3994.88	1	104	0.7
         5045.35	1	107	0.7
         4250.00	1	110	0.7
         2272.85	0	113	0.7
          270.52	0	112	0.7
          100.50	0	104	0.8
          150.00	0	106	0.8
          211.80	0	108	0.8
           58.50	0	110	0.8
         4746.00	1	109	0.8
         4346.00	1	112	0.8
          473.76	0	105	0.9
         9950.00	1	107	0.9
         9742.50	1	109	0.9
         5500.00	1	112	0.9
         1800.00	1	112	0.9
         5025.00	1	104	1
         4000.00	1	108	1
         7956.30	0	108	1
         1086.00	0	109	1
         6000.00	1	111	1
         5000.00	0	112	1
           60.70	0	105	1.1
          108.54	0	105	1.1
          109.00	1	107	1.1
          300.00	0	109	1.1
         4000.00	0	112	1.1
         3015.00	1	105	1.2
         3204.10	0	108	1.2
         7073.50	1	108	1.2
         7527.30	1	109	1.2
           60.00	0	111	1.2
         1727.03	1	103	1.3
          287.10	0	107	1.3
         6078.50	1	110	1.3
         7704.79	1	105	1.4
         7802.55	1	107	1.4
         5249.00	0	109	1.4
         8043.15	1	111	1.4
         4300.24	1	104	1.5
         3000.00	1	107	1.5
         7338.10	1	106	1.5
         2598.10	1	110	1.5
         5025.00	1	104	1.6
         5470.22	1	104	1.6
         5171.80	1	107	1.6
           82.49	0	110	1.6
         4020.00	1	104	1.7
        14000.00	0	108	1.7
         6700.00	1	106	1.7
         6316.50	1	109	1.7
         4000.00	0	110	1.7
         5208.92	1	104	1.8
         4676.35	1	106	1.8
         4500.00	1	109	1.8
         7572.17	1	104	1.9
         6695.65	1	106	1.9
         5506.00	1	108	1.9
           77.00	0	111	1.9
         7005.05	1	110	1.9
         4476.00	1	105	2
         5527.50	1	103	2
         4000.00	1	106	2
        11250.00	1	110	2
          522.36	0	105	2.1
         6875.15	1	106	2.1
         6553.00	1	107	2.1
         9000.00	1	109	2.1
        10213.00	1	110	2.1
         2652.85	1	104	2.2
        12750.00	0	106	2.2
         5098.52	1	110	2.2
         2512.50	0	104	2.3
         5139.60	0	108	2.3
         6670.50	1	107	2.3
        12000.00	1	109	2.3
         4500.00	1	111	2.3
         1750.00	1	105	2.4
         6179.49	1	106	2.4
        11000.00	1	109	2.4
         5527.50	1	103	2.5
         2382.61	1	103	2.5
          718.00	0	107	2.5
        15000.00	1	110	2.5
         5500.00	1	110	2.5
          121.10	0	104	2.6
         5955.00	1	106	2.6
